Processing /home/gridsan/akolodziej/TED/ted_365m.domain_summary.cath.globularity.taxid.tsv
Output will be written to outputs/nested_domain_pairs_validations.tsv
Processed 3760000 lines, found 3204 nested pairs, skipped 721871 low quality
Processed 3770000 lines, found 3211 nested pairs, skipped 723980 low quality
Processed 3780000 lines, found 3231 nested pairs, skipped 726090 low quality
Processed 3790000 lines, found 3243 nested pairs, skipped 728042 low quality
Processed 3800000 lines, found 3255 nested pairs, skipped 729979 low quality
Processed 3810000 lines, found 3261 nested pairs, skipped 731778 low quality
Processed 3820000 lines, found 3281 nested pairs, skipped 733805 low quality
Processed 3830000 lines, found 3310 nested pairs, skipped 736040 low quality
Processed 3840000 lines, found 3321 nested pairs, skipped 738070 low quality
Processed 3850000 lines, found 3333 nested pairs, skipped 739978 low quality
Processed 3860000 lines, found 3340 nested pairs, skipped 741891 low quality
Processed 3870000 lines, found 3357 nested pairs, skipped 743849 low quality
Processed 3880000 lines, found 3369 nested pairs, skipped 745863 low quality
Processed 3890000 lines, found 3376 nested pairs, skipped 747737 low quality
Processed 3900000 lines, found 3377 nested pairs, skipped 749832 low quality
Processed 3910000 lines, found 3380 nested pairs, skipped 751667 low quality
Processed 3920000 lines, found 3384 nested pairs, skipped 753649 low quality
Processed 3930000 lines, found 3387 nested pairs, skipped 755585 low quality
Processed 3940000 lines, found 3391 nested pairs, skipped 757327 low quality
Processed 3950000 lines, found 3393 nested pairs, skipped 759158 low quality
Processed 3960000 lines, found 3398 nested pairs, skipped 761176 low quality
Processed 3970000 lines, found 3402 nested pairs, skipped 762646 low quality
Processed 3980000 lines, found 3402 nested pairs, skipped 764051 low quality
Processed 3990000 lines, found 3405 nested pairs, skipped 765452 low quality
Processed 4000000 lines, found 3409 nested pairs, skipped 767050 low quality
Processed 4010000 lines, found 3411 nested pairs, skipped 768806 low quality
Processed 4020000 lines, found 3411 nested pairs, skipped 770571 low quality
Processed 4030000 lines, found 3411 nested pairs, skipped 772311 low quality
Processed 4040000 lines, found 3411 nested pairs, skipped 774068 low quality
Processed 4050000 lines, found 3413 nested pairs, skipped 775901 low quality
Processed 4060000 lines, found 3413 nested pairs, skipped 777796 low quality
Processed 4070000 lines, found 3413 nested pairs, skipped 779611 low quality
Processed 4080000 lines, found 3413 nested pairs, skipped 781312 low quality
Processed 4090000 lines, found 3413 nested pairs, skipped 782844 low quality
Processed 4100000 lines, found 3417 nested pairs, skipped 784602 low quality
Processed 4110000 lines, found 3434 nested pairs, skipped 786594 low quality
Processed 4120000 lines, found 3450 nested pairs, skipped 788797 low quality
Processed 4130000 lines, found 3458 nested pairs, skipped 790807 low quality
Processed 4140000 lines, found 3471 nested pairs, skipped 792829 low quality
